date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:14	1387/1387	---M--	200	added ('OK')	image/svg+xml	etag:%2256b-5a951843404c0%22	https://diri.isb.edu/content/dam/sites/isb/icons/facebook.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/facebook.svg	(from https://diri.isb.edu/en.html)
21:29:15	1879/1879	---M--	200	added ('OK')	image/svg+xml	etag:%22757-5a95184528940%22	https://diri.isb.edu/content/dam/sites/isb/icons/twitter.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/twitter.svg	(from https://diri.isb.edu/en.html)
21:29:16	1608/1608	---M--	200	added ('OK')	image/svg+xml	etag:%22648-5a951843404c0%22	https://diri.isb.edu/content/dam/sites/isb/icons/linkedin.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/linkedin.svg	(from https://diri.isb.edu/en.html)
21:29:17	3333/3333	---M--	200	added ('OK')	image/svg+xml	etag:%22d05-5ae61d4b13fc0%22	https://diri.isb.edu/content/dam/sites/isb/icons/instagram.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/instagram.svg	(from https://diri.isb.edu/en.html)
21:29:18	1706/1706	---M--	200	added ('OK')	image/svg+xml	etag:%226aa-5a9518461cb80%22	https://diri.isb.edu/content/dam/sites/isb/icons/youtube.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/youtube.svg	(from https://diri.isb.edu/en.html)
21:29:19	4940/4940	---M--	200	added ('OK')	image/svg+xml	etag:%22134c-5a97758e29540%22	https://diri.isb.edu/content/dam/sites/isb/icons/blogger.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/blogger.svg	(from https://diri.isb.edu/en.html)
21:29:20	76150/76150	---M-Z	200	added ('OK')	text/html	etag:%2212976-5b54ab93e99b3-gzip%22	https://diri.isb.edu/en/rss.html	/home/rishabh_/websites/ISB/diri.isb.edu/en/rss.html	(from https://diri.isb.edu/en.html)
21:29:21	1667/1667	---M--	200	added ('OK')	image/svg+xml	etag:%22683-5a9518461cb80%22	https://diri.isb.edu/content/dam/sites/isb/icons/rss-feed.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/rss-feed.svg	(from https://diri.isb.edu/en.html)
21:29:22	803/803	---M--	200	added ('OK')	image/jpeg	etag:%22323-5b2e402b112c0%22	https://diri.isb.edu/content/dam/sites/isb/icons/close2.jpg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/close2.jpg	(from https://diri.isb.edu/en.html)
21:29:24	100237/100237	---M--	200	added ('OK')	application/javascript	etag:%221878d-5a4f8eb88a980%22	https://diri.isb.edu/etc.clientlibs/clientlibs/granite/jquery.min.js	/home/rishabh_/websites/ISB/diri.isb.edu/etc.clientlibs/clientlibs/granite/jquery.min.js	(from https://diri.isb.edu/en.html)
